Agent_Id,Agent_Name,Model_Used,Current_Version,Created_At,Status
A-1,NanoGPT,LLaMA-3 7B,v4.5.1,01-03-2024,Testing
A-2,SmartCore,QuantumAI,v5.6.9,19-05-2024,Testing
A-3,HyperGPT,Claude 2,v5.2.1,12-10-2025,Disabled
A-4,UltraMind,Claude 2,v5.0.5,26-03-2024,Active
A-5,UltraCore,LLaMA-3 13B,v4.7.7,18-04-2025,Active
A-6,TurboEngine,HyperNova,v1.8.7,21-07-2025,Active
A-7,ChatGPT,LLaMA-3 70B,v1.9.2,04-04-2024,Active
A-8,NanoEngine,CodeGen-v2,v5.8.8,25-10-2024,Active
A-9,EchoBot,GPT-4o,v2.6.7,16-02-2025,Active
A-10,DeepEngine,HyperNova,v4.4.6,26-01-2025,Testing
A-11,ChatGPT,GPT-4o-finetune-v1,v1.7.2,01-11-2024,Testing
A-12,TurboGPT,QuantumAI,v1.7.6,04-10-2024,Active
A-13,EchoGPT,Claude 2,v1.9.0,19-05-2024,Disabled
A-14,NeuroLLM,CodeGen-v2,v2.5.1,03-08-2024,Disabled
A-15,DeepCore,GPT-4o-finetune-v1,v3.7.5,20-10-2025,Active
A-16,ChatLLM,Claude 3,v2.3.7,29-05-2024,Active
A-17,UltraCore,LLaMA-3 13B,v2.5.7,23-11-2024,Disabled
A-18,TurboLLM,GPT-3.5 Turbo,v2.9.4,10-09-2024,Active
A-19,EchoBot,Claude 2,v4.3.7,28-01-2024,Disabled
A-20,UltraCore,LLaMA-3 7B,v3.2.2,19-06-2024,Disabled
A-21,EchoEngine,GPT-4,v2.5.6,21-02-2025,Active
A-22,SmartCore,CodeGen-v2,v2.0.9,29-08-2025,Testing
A-23,HyperMind,LLaMA-3 70B,v2.5.5,22-05-2025,Testing
A-24,DeepEngine,GPT-4o-finetune-v1,v3.3.9,21-04-2024,Testing
A-25,ChatMind,Mistral-7B,v4.3.5,23-04-2025,Active
A-26,NanoMind,FinanceGPT,v5.8.5,17-05-2024,Testing
A-27,HyperGPT,LLaMA-3 70B,v4.7.1,30-09-2025,Disabled
A-28,EchoGPT,GPT-4o-finetune-v1,v4.9.5,21-07-2025,Disabled
A-29,NeuroMind,CodeGen-v2,v1.1.5,13-06-2025,Active
A-30,UltraCore,GPT-3.5 Turbo,v1.8.9,06-09-2025,Active
A-31,CodeGPT,GPT-4o-finetune-v1,v4.9.9,05-10-2025,Active
A-32,SmartLLM,CodeGen-v2,v5.7.7,17-06-2024,Disabled
A-33,NeuroCore,HyperNova,v2.0.7,07-02-2025,Active
A-34,EchoGPT,GPT-4o,v4.8.5,26-04-2024,Active
A-35,EchoGPT,QuantumAI,v4.4.5,07-01-2024,Active
A-36,CodeLLM,Claude 2,v5.9.3,23-02-2024,Active
A-37,CodeBot,LLaMA-3 7B,v1.4.2,06-04-2024,Disabled
A-38,SmartAI,Mistral-7B,v5.1.2,20-10-2025,Active
A-39,SmartAI,HyperNova,v4.3.0,31-10-2024,Testing
A-40,SmartGPT,Mixtral-8B,v2.6.1,22-07-2025,Active
A-41,EchoEngine,GPT-4o-finetune-v1,v4.5.2,17-06-2024,Active
A-42,NeuroEngine,QuantumAI,v1.1.1,16-04-2025,Active
A-43,EchoAI,LLaMA-3 7B,v2.3.7,11-08-2024,Testing
A-44,SmartLLM,GPT-4o-finetune-v1,v3.2.2,11-10-2025,Active
A-45,CodeEngine,Claude 3,v3.5.3,02-02-2024,Active
A-46,HyperMind,Mixtral-8B,v2.0.9,23-11-2024,Active
A-47,NeuroCore,GPT-4,v5.6.5,15-11-2024,Active
A-48,TurboEngine,Mistral-7B,v2.6.0,25-08-2024,Disabled
A-49,SmartLLM,HyperNova,v5.9.3,30-01-2024,Active
A-50,NeuroGPT,Mistral-7B,v1.3.9,19-04-2025,Testing
A-51,HyperMind,GPT-3.5 Turbo,v4.5.4,30-03-2025,Testing
A-52,HyperBot,GPT-4,v3.6.7,20-11-2024,Active
A-53,HyperEngine,GPT-4o-finetune-v1,v2.9.3,13-07-2025,Disabled
A-54,EchoEngine,GPT-4o-finetune-v1,v3.2.4,07-05-2025,Active
A-55,SmartBot,Mixtral-8B,v5.1.6,16-06-2025,Disabled
A-56,HyperEngine,GPT-3.5 Turbo,v4.9.8,14-12-2024,Active
A-57,DeepEngine,Claude 3,v4.3.1,23-07-2024,Disabled
A-58,DeepMind,Claude 2,v5.8.0,07-03-2024,Testing
A-59,CodeBot,Claude 2,v3.8.5,10-11-2025,Disabled
A-60,NanoCore,QuantumAI,v1.2.2,09-02-2025,Testing
A-61,DeepCore,Claude 3,v2.6.7,14-02-2024,Active
A-62,CodeBot,QuantumAI,v5.5.7,25-12-2024,Active
A-63,SmartLLM,CodeGen-v2,v2.9.7,27-04-2024,Disabled
A-64,NeuroLLM,FinanceGPT,v1.7.8,28-04-2024,Disabled
A-65,DeepBot,LLaMA-3 70B,v4.5.6,09-11-2025,Disabled
A-66,EchoBot,LLaMA-3 70B,v5.9.2,16-05-2024,Disabled
A-67,NanoCore,Claude 2,v5.4.8,01-05-2025,Active
A-68,EchoAI,CodeGen-v2,v4.1.6,25-08-2024,Active
A-69,EchoGPT,QuantumAI,v4.3.8,10-10-2025,Disabled
A-70,TurboAI,QuantumAI,v2.4.8,23-09-2025,Active
A-71,NeuroBot,Mistral-7B,v4.7.9,10-08-2024,Testing
A-72,NanoLLM,GPT-4o-finetune-v1,v4.0.4,19-11-2025,Disabled
A-73,DeepBot,HyperNova,v3.4.8,20-11-2024,Testing
A-74,TurboLLM,Mixtral-8B,v4.2.3,01-11-2025,Disabled
A-75,HyperLLM,CodeGen-v2,v5.0.3,26-09-2025,Active
A-76,ChatEngine,CodeGen-v2,v2.9.5,21-03-2024,Active
A-77,DeepBot,Mixtral-8B,v1.1.6,09-12-2024,Active
A-78,DeepMind,GPT-3.5 Turbo,v2.9.5,03-11-2024,Active
A-79,SmartGPT,Mistral-7B,v5.8.5,11-09-2024,Active
A-80,HyperAI,GPT-3.5 Turbo,v5.9.8,29-01-2025,Disabled
A-81,NeuroMind,QuantumAI,v5.9.3,17-05-2025,Active
A-82,NanoBot,LLaMA-3 7B,v3.7.3,08-08-2025,Active
A-83,DeepMind,LLaMA-3 70B,v2.0.0,29-05-2024,Disabled
A-84,EchoGPT,GPT-3.5 Turbo,v4.8.7,19-06-2024,Testing
A-85,CodeLLM,GPT-4o,v4.9.3,21-04-2024,Active
A-86,EchoCore,QuantumAI,v5.1.5,19-05-2025,Active
A-87,UltraEngine,LLaMA-3 70B,v1.1.1,03-03-2025,Testing
A-88,CodeBot,Claude 3,v1.6.5,01-12-2024,Active
A-89,SmartBot,Claude 2,v5.1.1,04-10-2025,Testing
A-90,UltraBot,LLaMA-3 13B,v5.6.9,24-11-2024,Testing
A-91,TurboLLM,GPT-4o-finetune-v1,v4.4.1,30-12-2024,Testing
A-92,SmartLLM,Claude 2,v1.0.3,28-10-2024,Active
A-93,CodeMind,LLaMA-3 13B,v1.2.3,27-04-2025,Disabled
A-94,TurboCore,LLaMA-3 13B,v3.5.6,18-08-2025,Active
A-95,SmartLLM,LLaMA-3 70B,v2.7.8,13-03-2024,Active
A-96,HyperAI,QuantumAI,v4.9.8,26-06-2025,Active
A-97,UltraGPT,CodeGen-v2,v3.7.5,05-11-2025,Active
A-98,EchoGPT,GPT-4o-finetune-v1,v5.0.8,20-12-2024,Active
A-99,SmartLLM,Mixtral-8B,v1.9.9,02-04-2025,Active
A-100,ChatEngine,LLaMA-3 70B,v3.9.3,17-12-2024,Disabled
A-101,ChatAI,Mixtral-8B,v2.3.7,10-01-2024,Testing
A-102,ChatGPT,FinanceGPT,v5.0.8,16-04-2024,Active
A-103,SmartAI,LLaMA-3 70B,v3.7.6,23-05-2025,Disabled
A-104,EchoCore,GPT-4o,v1.8.2,03-07-2025,Disabled
A-105,DeepMind,LLaMA-3 70B,v1.7.3,01-05-2025,Active
A-106,NeuroMind,GPT-4o,v2.6.7,14-01-2024,Active
A-107,ChatAI,QuantumAI,v1.0.2,22-11-2024,Active
A-108,EchoCore,HyperNova,v1.3.6,06-07-2024,Active
A-109,CodeAI,QuantumAI,v4.7.0,20-10-2024,Testing
A-110,CodeAI,LLaMA-3 7B,v2.6.6,21-05-2025,Disabled
A-111,DeepMind,QuantumAI,v3.8.5,30-04-2024,Active
A-112,NeuroGPT,Mistral-7B,v4.2.4,04-03-2024,Active
A-113,CodeGPT,GPT-4,v1.3.2,03-02-2025,Disabled
A-114,ChatCore,LLaMA-3 7B,v3.7.3,07-09-2025,Active
A-115,NeuroEngine,HyperNova,v1.3.0,04-04-2024,Active
A-116,TurboMind,CodeGen-v2,v1.0.9,05-01-2025,Testing
A-117,CodeAI,FinanceGPT,v4.2.5,12-10-2025,Active
A-118,SmartMind,LLaMA-3 70B,v4.7.3,18-05-2025,Active
A-119,EchoGPT,GPT-4o-finetune-v1,v5.8.4,22-06-2024,Testing
A-120,ChatBot,Claude 3,v3.3.1,28-05-2025,Testing
A-121,SmartAI,FinanceGPT,v3.0.8,01-06-2025,Active
A-122,CodeLLM,CodeGen-v2,v4.5.2,20-09-2025,Active
A-123,EchoAI,LLaMA-3 70B,v3.9.1,30-12-2024,Disabled
A-124,HyperCore,GPT-4o-finetune-v1,v5.3.7,20-08-2024,Active
A-125,DeepGPT,GPT-4o,v5.2.2,20-04-2025,Active
A-126,CodeGPT,QuantumAI,v1.0.4,28-03-2024,Disabled
A-127,UltraGPT,GPT-4,v3.3.1,23-01-2024,Disabled
A-128,UltraBot,HyperNova,v3.2.3,19-03-2025,Disabled
A-129,NeuroLLM,LLaMA-3 70B,v2.9.6,24-12-2024,Active
A-130,CodeCore,Claude 2,v5.4.1,22-07-2025,Active
A-131,ChatCore,HyperNova,v1.1.3,12-10-2024,Active
A-132,HyperAI,Mistral-7B,v2.4.2,20-07-2025,Active
A-133,NeuroGPT,GPT-4o-finetune-v1,v5.8.9,01-03-2025,Active
A-134,CodeEngine,QuantumAI,v4.4.2,16-04-2025,Active
A-135,EchoCore,HyperNova,v4.3.4,02-10-2024,Active
A-136,DeepBot,QuantumAI,v3.0.0,02-10-2025,Active
A-137,UltraAI,Claude 2,v5.1.5,31-03-2024,Active
A-138,NeuroMind,CodeGen-v2,v1.1.5,28-07-2025,Testing
A-139,HyperAI,CodeGen-v2,v2.7.8,30-11-2024,Active
A-140,NeuroGPT,FinanceGPT,v4.5.1,17-08-2024,Active
A-141,UltraLLM,HyperNova,v3.9.9,24-02-2024,Testing
A-142,UltraGPT,LLaMA-3 7B,v4.7.7,24-06-2025,Active
A-143,NanoMind,Mistral-7B,v5.7.3,18-09-2025,Disabled
A-144,SmartCore,GPT-4o,v1.8.6,07-01-2025,Testing
A-145,NanoMind,GPT-4o,v2.1.2,17-09-2024,Active
A-146,DeepCore,GPT-4,v2.9.8,26-08-2024,Disabled
A-147,EchoCore,Claude 2,v1.0.3,30-07-2024,Testing
A-148,NeuroBot,GPT-4,v4.5.5,16-03-2025,Testing
A-149,DeepMind,LLaMA-3 7B,v2.6.1,05-01-2024,Testing
A-150,TurboAI,CodeGen-v2,v1.0.9,24-07-2024,Active
A-151,CodeEngine,Mixtral-8B,v5.5.4,27-02-2024,Active
A-152,ChatEngine,GPT-4,v1.7.4,12-11-2024,Active
A-153,NeuroAI,GPT-4,v4.8.6,28-04-2025,Testing
A-154,ChatBot,Claude 3,v2.1.9,03-01-2025,Testing
A-155,HyperBot,Claude 2,v1.4.2,29-02-2024,Disabled
A-156,HyperCore,LLaMA-3 70B,v2.6.5,03-09-2025,Active
A-157,NanoBot,GPT-4,v1.7.6,30-03-2025,Active
A-158,DeepBot,LLaMA-3 7B,v5.9.1,13-01-2024,Testing
A-159,NeuroEngine,LLaMA-3 7B,v1.7.5,13-10-2024,Disabled
A-160,NanoCore,Mistral-7B,v5.0.6,01-03-2024,Disabled
A-161,ChatBot,LLaMA-3 13B,v5.1.5,31-05-2024,Active
A-162,ChatLLM,LLaMA-3 70B,v2.3.8,23-09-2024,Active
A-163,HyperGPT,HyperNova,v3.5.6,08-05-2024,Testing
A-164,ChatAI,CodeGen-v2,v3.7.5,15-01-2024,Active
A-165,NanoMind,Mistral-7B,v5.6.9,17-01-2024,Active
A-166,CodeCore,Mixtral-8B,v2.0.7,23-02-2025,Testing
A-167,UltraMind,QuantumAI,v3.5.3,25-12-2024,Testing
A-168,NanoLLM,CodeGen-v2,v5.8.8,20-01-2024,Active
A-169,EchoAI,GPT-4o,v4.4.8,03-07-2024,Active
A-170,UltraLLM,CodeGen-v2,v3.3.9,25-08-2024,Active
A-171,CodeCore,LLaMA-3 70B,v2.5.8,05-08-2025,Testing
A-172,DeepCore,FinanceGPT,v5.2.0,15-11-2025,Active
A-173,SmartGPT,Claude 3,v1.1.2,19-02-2025,Testing
A-174,EchoEngine,LLaMA-3 7B,v4.2.1,08-03-2025,Testing
A-175,CodeCore,Claude 3,v3.8.2,25-12-2024,Active
A-176,UltraAI,LLaMA-3 7B,v2.1.6,07-06-2025,Testing
A-177,EchoCore,Mistral-7B,v2.3.7,12-01-2024,Testing
A-178,ChatGPT,LLaMA-3 13B,v5.4.5,04-04-2025,Testing
A-179,UltraAI,Claude 3,v4.5.6,11-05-2024,Active
A-180,CodeBot,GPT-4o-finetune-v1,v1.1.4,01-10-2025,Active
A-181,DeepAI,Claude 2,v2.4.0,07-01-2024,Testing
