log_id,interaction_id,latency_ms,accuracy_score,sentiment,error_type,severity_level,flagged
L-1,I-1,167,0.92,Positive,Rate Limit,Medium,Yes
L-2,I-2,21,0.98,Positive,Token Limit Exceeded,Low,No
L-3,I-3,441,0.9,Neutral,Rate Limit,Low,Yes
L-4,I-4,150,0.85,Positive,None,Low,Yes
L-5,I-5,725,0.98,Positive,Timeout,Medium,No
L-6,I-6,346,0.85,Negative,Rate Limit,Medium,No
L-7,I-7,226,0.85,Neutral,None,Low,No
L-8,I-8,66,0.85,Positive,Connection Error,Low,No
L-9,I-9,565,0.98,Neutral,None,Critical,No
L-10,I-10,85,0.92,Positive,None,High,Yes
L-11,I-11,209,0.8,Positive,Rate Limit,Low,No
L-12,I-12,562,0.85,Positive,Connection Error,Medium,No
L-13,I-13,262,0.9,Positive,Server Error,Critical,No
L-14,I-14,143,0.8,Negative,Connection Error,High,No
L-15,I-15,201,0.92,Negative,Timeout,Medium,No
L-16,I-16,172,0.92,Positive,Connection Error,Low,No
L-17,I-17,388,0.8,Negative,Token Limit Exceeded,Critical,No
L-18,I-18,931,0.98,Negative,None,High,No
L-19,I-19,322,0.9,Positive,Rate Limit,Critical,No
L-20,I-20,91,0.98,Negative,Rate Limit,High,No
L-21,I-21,356,0.85,Positive,Rate Limit,Medium,No
L-22,I-22,35,0.92,Negative,None,Medium,Yes
L-23,I-23,607,0.92,Positive,Token Limit Exceeded,High,Yes
L-24,I-24,83,0.8,Positive,Validation Error,High,No
L-25,I-25,101,0.98,Negative,Rate Limit,Low,No
L-26,I-26,54,0.98,Neutral,None,Critical,No
L-27,I-27,134,0.85,Neutral,API Error,Critical,Yes
L-28,I-28,185,0.8,Positive,None,High,No
L-29,I-29,242,0.85,Neutral,Timeout,Low,Yes
L-30,I-30,378,0.85,Neutral,None,High,Yes
L-31,I-31,738,0.9,Positive,Server Error,Medium,Yes
L-32,I-32,900,0.85,Neutral,None,Medium,No
L-33,I-33,571,0.9,Positive,Server Error,Low,No
L-34,I-34,263,0.95,Negative,None,Critical,No
L-35,I-35,813,0.98,Positive,Token Limit Exceeded,Low,No
L-36,I-36,622,0.92,Neutral,Rate Limit,Medium,No
L-37,I-37,227,0.92,Neutral,Token Limit Exceeded,High,No
L-38,I-38,920,0.92,Negative,Rate Limit,Low,No
L-39,I-39,70,0.9,Positive,Validation Error,Medium,No
L-40,I-40,300,0.95,Negative,Token Limit Exceeded,Low,No
L-41,I-41,239,0.9,Positive,Timeout,Medium,No
L-42,I-42,112,0.8,Positive,Server Error,Critical,No
L-43,I-43,693,0.8,Positive,Connection Error,High,No
L-44,I-44,142,0.85,Neutral,API Error,Low,No
L-45,I-45,22,0.9,Positive,None,High,No
L-46,I-46,86,0.85,Positive,Validation Error,Low,No
L-47,I-47,150,0.85,Positive,Connection Error,Low,No
L-48,I-48,96,0.98,Positive,Server Error,Low,Yes
L-49,I-49,87,0.8,Positive,Timeout,Medium,No
L-50,I-50,582,0.9,Negative,API Error,Low,No
L-51,I-51,128,0.9,Positive,None,High,No
L-52,I-52,786,0.95,Negative,Validation Error,Low,No
L-53,I-53,490,0.9,Neutral,Server Error,Medium,No
L-54,I-54,734,0.92,Positive,None,High,No
L-55,I-55,654,0.92,Neutral,Validation Error,Medium,No
L-56,I-56,204,0.92,Negative,Timeout,Medium,Yes
L-57,I-57,829,0.92,Positive,None,Low,No
L-58,I-58,225,0.98,Positive,None,High,No
L-59,I-59,45,0.9,Positive,Server Error,Low,No
L-60,I-60,104,0.8,Neutral,None,Low,No
L-61,I-61,73,0.92,Negative,Token Limit Exceeded,Low,No
L-62,I-62,241,0.8,Neutral,API Error,Low,No
L-63,I-63,86,0.9,Positive,Validation Error,Low,No
L-64,I-64,722,0.9,Negative,None,High,No
L-65,I-65,774,0.92,Neutral,Token Limit Exceeded,High,No
L-66,I-66,506,0.92,Negative,API Error,Low,No
L-67,I-67,415,0.98,Positive,Token Limit Exceeded,Critical,No
L-68,I-68,588,0.85,Positive,None,Medium,Yes
