session_id,user_id,agent_id,start_time,end_time,response_time_in_sec,total_queries,,,
S-1,U-1,A-1,5.06.41,5.45.38,2337,1399,,,
S-2,U-2,A-2,20.00.28,20.11.58,690,3652,,,
S-3,U-3,A-3,3.22.59,3.35.30,751,2219,,,
S-4,U-4,A-4,7.42.27,8.19.24,2217,5847,,,
S-5,U-5,A-5,5.22.24,5.28.29,365,5370,,,
S-6,U-6,A-6,5.29.56,5.42.37,761,3540,,,
S-7,U-7,A-7,16.27.39,17.09.27,2508,5286,,,
S-8,U-8,A-8,3.33.20,3.57.04,1424,7037,,,
S-9,U-9,A-9,9.10.03,9.52.52,2569,1344,,,
S-10,U-10,A-10,4.07.55,4.53.22,2727,3335,,,
S-11,U-11,A-11,21.43.50,22.27.33,2623,4802,,,
S-12,U-12,A-12,19.37.01,19.51.20,859,2343,,,
S-13,U-13,A-13,2.13.11,2.20.01,410,7830,,,
S-14,U-14,A-14,2.02.56,2.26.02,1386,7717,,,
S-15,U-15,A-15,5.31.08,5.43.14,726,974,,,
S-16,U-16,A-16,2.36.56,2.45.06,490,4987,,,
S-17,U-17,A-17,1.13.57,1.53.18,2361,904,,,
S-18,U-18,A-18,6.54.20,7.23.39,1759,5052,,,
S-19,U-19,A-19,4.51.44,5.35.06,2602,1434,,,
S-20,U-20,A-20,8.28.10,9.23.35,3325,5436,,,
S-21,U-21,A-21,10.55.23,11.27.42,1939,6757,,,
S-22,U-22,A-22,17.07.59,17.19.45,706,6618,,,
S-23,U-23,A-23,1.10.44,1.34.04,1400,4240,,,
S-24,U-24,A-24,5.12.40,6.02.34,2994,722,,,
S-25,U-25,A-25,21.38.33,22.25.23,2810,2422,,,
S-26,U-26,A-26,19.32.25,20.13.14,2449,2250,,,
S-27,U-27,A-27,9.33.08,10.21.25,2897,4729,,,
S-28,U-28,A-28,7.50.13,8.31.37,2484,3068,,,
S-29,U-29,A-29,10.59.16,11.19.22,1206,2781,,,
S-30,U-30,A-30,23.07.55,23.27.01,1146,6030,,,
S-31,U-31,A-31,7.16.53,7.42.23,1530,255,,,
S-32,U-32,A-32,23.22.15,23.49.30,1635,3983,,,
S-33,U-33,A-33,1.22.10,1.37.33,923,577,,,
S-34,U-34,A-34,19.27.24,20.04.06,2202,378,,,
S-35,U-35,A-35,21.46.09,22.36.44,3035,6381,,,
S-36,U-36,A-36,2.37.15,3.30.29,3194,7758,,,
S-37,U-37,A-37,20.47.53,21.12.29,1476,7360,,,
S-38,U-38,A-38,11.41.52,12.09.54,1682,43,,,
S-39,U-39,A-39,1.48.08,2.21.44,2016,1969,,,
S-40,U-40,A-40,6.47.50,7.09.26,1296,1954,,,
S-41,U-41,A-41,0.07.30,0.39.08,1898,467,,,
S-42,U-42,A-42,10.37.42,11.35.55,3493,6342,,,
S-43,U-43,A-43,23.00.41,23.20.40,1199,499,,,
S-44,U-44,A-44,6.40.29,6.58.36,1087,3126,,,
S-45,U-45,A-45,10.10.12,10.36.06,1554,751,,,
S-46,U-46,A-46,13.14.15,13.44.09,1794,4913,,,
S-47,U-47,A-47,5.48.41,6.40.20,3099,414,,,
S-48,U-48,A-48,18.02.33,18.16.32,839,5751,,,
S-49,U-49,A-49,16.27.51,16.59.01,1870,1954,,,
S-50,U-50,A-50,9.18.12,9.42.14,1442,1747,,,
S-51,U-51,A-51,9.08.35,9.55.39,2824,538,,,
S-52,U-52,A-52,13.37.38,14.34.09,3391,1726,,,
S-53,U-53,A-53,15.02.37,15.12.02,565,7269,,,
S-54,U-54,A-54,11.45.14,11.53.20,486,1142,,,
S-55,U-55,A-55,2.35.57,3.29.22,3205,5126,,,
S-56,U-56,A-56,13.18.17,14.12.21,3244,588,,,
S-57,U-57,A-57,8.10.31,8.43.33,1982,4447,,,
S-58,U-58,A-58,16.38.02,17.10.45,1963,6127,,,
S-59,U-59,A-59,10.28.18,11.13.30,2712,1202,,,
S-60,U-60,A-60,16.07.32,16.48.33,2461,6323,,,
